Troqueles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Una fila por troquel. Los campos geométricos alimentan etiquetas por repetición, desarrollo y validación de planchas.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CÓDIGO,Descripción,Clasificación,Forma,Código cliente,Código preprensa,Código proveedor,Ancho mm,Largo mm,Desarrollo cm,DESARROLLO TOTAL,Elongación %,Elongado,Ancho total troquel in,Largo total troquel in,Ancho etiqueta in,Largo etiqueta in,Ancho material in,Área etiqueta in²,Área troquel in²,Estructura,Formato,GAP AROUND,GAP AROUND,Montaje,Proveedor,Tensión,Tipo troquel,Uso convencional,Uso digital,Filas,DIENTES,Repeticiones,Estado,Activo,Observaciones
R0109-BM,,,rectangulo,,,,100,115,"50,8",20,,,"12,19",20,"3,9370","4,5276",,"17,83","243,80",,rollo,"0,472","4,724",,KOCHER,,flexo,Sí,No,3,160,4,Bueno,Sí,
X0045-SG,,,especial,,,,20,25,"40,005","15,75",,,"8,21","15,75","7,874","9,843",,"0,78","129,31",,rollo,"0,141","1,407",,KOCHER,,flexo,Sí,No,9,126,14,Bueno,Sí,
X0046-SG,,,especial,,,,22,38,"43,18",17,,,"8,92",17,"8,661","1,4961",,"1,30","151,64",,rollo,"0,204","2,039",,KOCHER,,flexo,Sí,No,9,136,10,Bueno,Sí,
R0111-PPTPET,,,rectangulo,,,,87,38,"37,465","14,75",,,"7,1","14,75","3,4252","1,4961",,"5,12","104,73",,rollo,"0,143","1,428",,KOCHER,,flexo,Sí,No,2,118,9,Bueno,Sí,
R0110-PPTPET,,,rectangulo,,,,38,76,"40,005","15,75",,,"9,73","15,75","1,4961","2,9921",,"4,48","153,25",,rollo,"0,158","1,579",,KOCHER,,flexo,Sí,No,6,126,5,Bueno,Sí,
X0044-PPTPET,,,especial,,,,114,"45,7","45,72",18,,,"9,23",18,"4,4882","1,7992",,"08,08","166,14",,rollo,"0,201","2,008",,KOCHER,,flexo,Sí,No,2,144,9,Bueno,Sí,
E0003-PPPET,,,elipse,,,,"85,7","98,4","50,8",20,,,"10,5",20,"3,3740","3,8740",,"13,07","210,00",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,3,160,5,Bueno,Sí,
X0043-PPPET,,,especial,,,,"167,2","119,8","50,8",20,,,"6,58",20,"6,5827","4,7165",,"31,05","131,60",,rollo,"0,284","2,839",,KOCHER,,flexo,Sí,No,1,160,4,Bueno,Sí,
R0112-BM,,,rectangulo,,,,43,290,"30,48",12,,,"09,09",12,"1,6929","11,4173",,"19,33","109,08",,rollo,"0,583","5,827",,KOCHER,,flexo,Sí,No,5,96,1,Bueno,Sí,
R0114-SG,,,rectangulo,,,,75,"120,7","37,465","14,75",,,"9,23","14,75","2,9528","4,7520",,"14,03","136,14",,rollo,"0,167","1,667",,KOCHER,,flexo,Sí,No,3,118,3,Bueno,Sí,
R0116-BM,,,rectangulo,,,,53,45,"30,48",12,,,"8,85",12,"2,0866","1,7717",,"3,70","106,20",,rollo,"0,228","2,283",,KOCHER,,flexo,Sí,No,4,96,6,Bueno,Sí,
R0117-PPTPET,,,rectangulo,,,,155,"166,2","50,8",20,,,"12,45",20,"6,1024","6,5433",,"39,93","249,00",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,2,160,3,Bueno,Sí,
R0118-PPTPET,,,rectangulo,,,,155,195,"40,64",16,,,"12,45","15,75","6,1024","7,6772",,"46,85","196,09",,rollo,"0,198","1,978",,KOCHER,,flexo,Sí,No,2,126,2,Bueno,Sí,
R0119-PPTPET,,,rectangulo,,,,150,"149,2","45,72",18,,,"12,06",18,"5,9055","5,8740",,"34,69","217,08",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,2,144,3,Bueno,Sí,
R0120-PPTPET,,,rectangulo,,,,60,"250,8","50,8",20,,,"12,44",20,"2,3622","9,8740",,"23,32","248,80",,rollo,"0,125","1,250",,KOCHER,,flexo,Sí,No,5,160,2,Bueno,Sí,
